epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.404,1.48165,2.74504,1.14341,0.31593,0.27592,0.17038,0.1023,1.46784,1.6327,1.13321,0.000207702,0.000207702,0.000207702
2,292.835,1.37416,1.60504,1.1071,0.34002,0.34289,0.20685,0.1252,1.43053,1.4987,1.13645,0.000407798,0.000407798,0.000407798
3,432.728,1.32551,1.43271,1.09955,0.4502,0.3589,0.2853,0.1847,1.41583,1.43286,1.14204,0.000599644,0.000599644,0.000599644
4,568.412,1.30261,1.32528,1.09313,0.48669,0.3419,0.31592,0.20734,1.40844,1.38811,1.14239,0.000587875,0.000587875,0.000587875
5,703.987,1.28482,1.23244,1.08448,0.42231,0.42444,0.3405,0.2219,1.38322,1.27617,1.12621,0.0005755,0.0005755,0.0005755
6,839.613,1.27715,1.16663,1.08688,0.34606,0.42145,0.36086,0.23534,1.37681,1.26302,1.12639,0.000563125,0.000563125,0.000563125
7,979.769,1.25493,1.11971,1.07759,0.36774,0.41826,0.34792,0.22947,1.37638,1.29927,1.13024,0.00055075,0.00055075,0.00055075
8,1117.26,1.23852,1.07927,1.07408,0.36085,0.50111,0.39217,0.26137,1.38656,1.20236,1.13347,0.000538375,0.000538375,0.000538375
9,1258.21,1.23148,1.03014,1.06941,0.4084,0.4652,0.3941,0.25901,1.40757,1.21832,1.13199,0.000526,0.000526,0.000526
10,1400.63,1.24372,0.99447,1.06979,0.42414,0.47505,0.38721,0.26375,1.35368,1.19766,1.11957,0.000513625,0.000513625,0.000513625
11,1541.49,1.22234,0.96157,1.06897,0.386,0.47433,0.37538,0.25271,1.39126,1.26988,1.12736,0.00050125,0.00050125,0.00050125
12,1681.71,1.20284,0.92618,1.05693,0.42884,0.51093,0.4152,0.27967,1.35888,1.17097,1.1182,0.000488875,0.000488875,0.000488875
13,1822.99,1.2034,0.90383,1.05403,0.43643,0.47252,0.39981,0.26668,1.38194,1.20747,1.13056,0.0004765,0.0004765,0.0004765
14,1963.17,1.1897,0.89349,1.05431,0.43412,0.45962,0.39437,0.26719,1.37214,1.21074,1.12639,0.000464125,0.000464125,0.000464125
15,2109.76,1.18614,0.86797,1.05241,0.4479,0.4877,0.3947,0.27054,1.34721,1.22643,1.12925,0.00045175,0.00045175,0.00045175
16,2254.01,1.18186,0.85058,1.04853,0.47451,0.5239,0.42117,0.29119,1.34892,1.16825,1.11827,0.000439375,0.000439375,0.000439375
17,2396.89,1.17895,0.83382,1.04769,0.43678,0.52972,0.40192,0.27694,1.32949,1.25122,1.12211,0.000427,0.000427,0.000427
18,2544.82,1.16285,0.81708,1.04211,0.47377,0.5167,0.41632,0.28711,1.34312,1.20548,1.12978,0.000414625,0.000414625,0.000414625
19,2687.98,1.16452,0.81046,1.04323,0.47445,0.51079,0.42471,0.29506,1.32858,1.23259,1.11569,0.00040225,0.00040225,0.00040225
20,2829.54,1.15359,0.79385,1.04029,0.49861,0.50727,0.40192,0.27916,1.32684,1.29438,1.11177,0.000389875,0.000389875,0.000389875
21,2983.39,1.14645,0.78023,1.03596,0.48652,0.5468,0.4232,0.28875,1.33775,1.18494,1.11605,0.0003775,0.0003775,0.0003775
22,3135.33,1.14393,0.76874,1.03924,0.48078,0.52435,0.42463,0.29586,1.32925,1.19146,1.11768,0.000365125,0.000365125,0.000365125
23,3283.14,1.13812,0.75618,1.03247,0.46659,0.5512,0.41417,0.28632,1.31283,1.16245,1.11609,0.00035275,0.00035275,0.00035275
24,3427.11,1.13539,0.75384,1.03284,0.49876,0.53444,0.43535,0.30155,1.31289,1.17705,1.11211,0.000340375,0.000340375,0.000340375
25,3582.44,1.11757,0.73968,1.02537,0.46263,0.56461,0.40421,0.27823,1.31558,1.22937,1.11297,0.000328,0.000328,0.000328
26,3740.21,1.12464,0.73328,1.02771,0.47356,0.5558,0.42232,0.29194,1.32731,1.17265,1.11439,0.000315625,0.000315625,0.000315625
27,3901.62,1.13034,0.72901,1.0336,0.47631,0.53451,0.4002,0.27468,1.32065,1.21083,1.11404,0.00030325,0.00030325,0.00030325
28,4063.03,1.12737,0.72148,1.02883,0.4685,0.54173,0.42146,0.2921,1.31471,1.21158,1.11219,0.000290875,0.000290875,0.000290875
29,4222.44,1.10892,0.70749,1.02146,0.50842,0.54554,0.4423,0.30406,1.3141,1.14462,1.11521,0.0002785,0.0002785,0.0002785
30,4379.01,1.113,0.71384,1.02326,0.47301,0.57759,0.41499,0.28753,1.31422,1.16074,1.11031,0.000266125,0.000266125,0.000266125
31,4532.05,1.10313,0.68986,1.01551,0.47299,0.58967,0.42885,0.29752,1.30801,1.16446,1.10792,0.00025375,0.00025375,0.00025375
32,4677.49,1.0989,0.69194,1.01967,0.50231,0.55761,0.43362,0.30331,1.29767,1.24022,1.10732,0.000241375,0.000241375,0.000241375
33,4820.21,1.10161,0.68904,1.02083,0.48588,0.56397,0.4224,0.29478,1.3013,1.1721,1.10993,0.000229,0.000229,0.000229
34,4960.05,1.07744,0.6728,1.01239,0.4744,0.56954,0.40877,0.28637,1.30149,1.20427,1.11,0.000216625,0.000216625,0.000216625
35,5096.36,1.08674,0.67371,1.01483,0.47884,0.58243,0.42443,0.29519,1.30374,1.20648,1.10529,0.00020425,0.00020425,0.00020425
36,5231.96,1.07865,0.66698,1.01158,0.49198,0.58198,0.43374,0.3036,1.30107,1.18361,1.10671,0.000191875,0.000191875,0.000191875
37,5369.07,1.08098,0.66451,1.01276,0.47811,0.58697,0.42677,0.29812,1.29376,1.18747,1.10937,0.0001795,0.0001795,0.0001795
38,5507.1,1.08818,0.6649,1.01691,0.49817,0.56859,0.42154,0.29514,1.29704,1.21093,1.10719,0.000167125,0.000167125,0.000167125
39,5644.9,1.07597,0.65537,1.01105,0.47304,0.56859,0.41571,0.29037,1.28925,1.21255,1.10387,0.00015475,0.00015475,0.00015475
40,5791.95,1.07778,0.65005,1.01625,0.48437,0.59427,0.42941,0.30041,1.29142,1.17582,1.10194,0.000142375,0.000142375,0.000142375
41,5940.04,1.0619,0.58835,1.01082,0.46954,0.58183,0.42129,0.2938,1.29451,1.22975,1.11325,0.00013,0.00013,0.00013
42,6082.48,1.05744,0.58126,1.01187,0.49204,0.58554,0.43263,0.30394,1.2875,1.22051,1.10879,0.000117625,0.000117625,0.000117625
43,6226.93,1.04371,0.56865,1.00471,0.48191,0.58303,0.43239,0.30554,1.2941,1.23464,1.11259,0.00010525,0.00010525,0.00010525
44,6369.35,1.04066,0.56416,1.007,0.47411,0.59674,0.43048,0.30244,1.28913,1.22743,1.10912,9.2875e-05,9.2875e-05,9.2875e-05
45,6512.8,1.03218,0.5583,0.99834,0.50275,0.56165,0.42509,0.29938,1.29075,1.24191,1.10976,8.05e-05,8.05e-05,8.05e-05
46,6659.09,1.03099,0.55195,1.00058,0.50996,0.55852,0.42065,0.29544,1.29037,1.28041,1.10889,6.8125e-05,6.8125e-05,6.8125e-05
47,6809.33,1.028,0.54921,0.99667,0.49873,0.57984,0.42855,0.30348,1.29047,1.24669,1.10842,5.575e-05,5.575e-05,5.575e-05
48,6960.79,1.02401,0.54619,0.99631,0.50862,0.57274,0.42824,0.30312,1.28502,1.24909,1.10996,4.3375e-05,4.3375e-05,4.3375e-05
49,7120.89,1.01862,0.54087,0.9967,0.49317,0.57805,0.42515,0.30094,1.28697,1.26083,1.11075,3.1e-05,3.1e-05,3.1e-05
50,7277.48,1.02129,0.54102,1.00005,0.51308,0.56068,0.42968,0.30462,1.28522,1.24669,1.10799,1.8625e-05,1.8625e-05,1.8625e-05
